epoch,loss,lr,val_loss
0,0.00024859499535523355,1e-04,0.0002447685110382736
1,0.00024667990510351956,1e-04,0.00024288966960739344
2,0.0002443943521939218,1e-04,0.00024170885444618762
3,0.00024116848362609744,1e-04,0.00024245461099781096
4,0.0002380483056185767,1e-04,0.00024157250300049782
5,0.00023342642816714942,1e-04,0.00022738368716090918
6,0.00022702822752762586,1e-04,0.00023900068481452763
7,0.00022764278401155025,1e-04,0.00022148186690174043
8,0.00021552210091613233,1e-04,0.00022218481171876192
9,0.0002111710055032745,1e-04,0.00022273758077062666
10,0.00020366784883663058,1e-04,0.00021719066717196256
11,0.00019295793026685715,1e-04,0.00020752768614329398
12,0.00017916296201292425,1e-04,0.00020994304213672876
13,0.000167483274708502,1e-04,0.0002161995944334194
14,0.00015241780783981085,1e-04,0.00019661281839944422
15,0.00013839641178492457,1e-04,0.00020264848717488348
16,0.00012987431546207517,1e-04,0.00020590968779288232
17,0.00011689467646647245,1e-04,0.0001985615526791662
18,0.00010281720460625365,1e-04,0.00020473690528888255
19,9.334147034678608e-05,1e-04,0.00020383189257699996
20,6.906940689077601e-05,5e-05,0.0002214205451309681
21,6.493102409876883e-05,5e-05,0.00020434113685041666
22,5.7750683481572196e-05,5e-05,0.00021302446839399636
23,5.413311373558827e-05,5e-05,0.0002110797504428774
24,5.128002158016898e-05,5e-05,0.0002122182195307687
